,index,comment,label
10,10,mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm_thấy rất hài_lòng về chất_lượng,"[ 0.  0.  0.  0.  0.  1.  1.  0.  1.  0. -1. -1. -1. -1. -1.  2.  1. -1.
  2. -1.]"
11,11,khá ổn trong tầm giá cam đẹp sạc nhanh màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi game tuy_nhiên màn_hình hơi tối so với ngoài_trời,"[ 1.  1.  1.  0.  0.  1.  1.  1.  0.  0.  2.  2.  2. -1. -1.  2.  1.  1.
 -1. -1.]"
12,12,"đi thoại mượt chơi game ngon 
 âm báo_thức bật maxloa luôn nghe vẫn nhỏ 
 nhân_viên phục_vụ nhiệt_tình","[ 0.  1.  0.  1.  0.  0.  0.  0.  1.  0. -1.  0. -1.  2. -1. -1. -1. -1.
  2. -1.]"
13,13,máy rất tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi các tựa game ở cấu_hình vừa phải thì ổn chỉ có đều là cảm_biến vân tay quang_học trong màn_hình hơi chậm k có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình và chu_đáo,"[ 1.  1.  1.  1.  0.  1.  1.  1.  1.  0.  1.  0.  2.  2. -1.  2.  1.  2.
  2. -1.]"
14,14,mình mua dc tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,"[ 0.  1.  0.  1.  0.  1.  0.  0.  0.  0. -1.  0. -1.  0. -1.  0. -1. -1.
 -1. -1.]"
15,15,sản_phẩm quá tuyệt_vời iphone plus camera đẹp chơi game thì không sợ game nào nặng cả rất mượt nhưng game nào có đồ_họa cao chơi sẽ bị sụt pin rất nhanh máy nóng nhưng không sao iphone plus tuyệt_vời lắm rồi,"[ 1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  2. -1.  0.  1. -1.  2. -1. -1.
 -1. -1.]"
16,16,dùng ok mượt k nóng đt có triệu mà mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,"[ 0.  0.  0.  1.  0.  1.  0.  0.  1.  0. -1. -1. -1.  2. -1.  2. -1. -1.
  2. -1.]"
17,17,mới mua được ngày ck dùng j còn mình dùng con này wifi ck m lúc_nào cũng vạch mà dt này thì lúc vạch lúc vạch lúc đứng luôn k hieur vì_sao nữa dùng thấy bực_mình,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
18,18,dùng thì cứ đơ máy bấm mãi mới khởi_động lại song nóng ran lên chán ko buồn nói kêu bảo_hành phần_mềm chọn đời mà dùng chưa dc đã hỏng,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
19,19,lỗi phầm mềm sạc pin ko vào đem ra bảo_trì thì cài lại máy vẫn ko hết lỗi mua quả máy trk ram gb về để chơi pubg lag vãi chưởng,"[ 0.  0.  1.  1.  0.  0.  1.  0.  0.  0. -1. -1.  0.  0. -1. -1.  1. -1.
 -1. -1.]"
20,20,máy dùng tốt với tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy chưa tới tr mà ưng ghê luôn á mọi người nên mua,"[ 0.  0.  1.  1.  0.  1.  1.  0.  0.  0. -1. -1.  2.  2. -1.  2.  1. -1.
 -1. -1.]"
21,21,sạc pin r để k h mà k hao nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  2. -1. -1. -1. -1. -1.
 -1. -1.]"
22,22,cho mình hỏi tắt quảng_cáo trên điện_thoại ạ mới mua về vài hôm mà nó cứ tụ phát quảng_cáo hoài ngày khi mình đã khoá màn_hình cũng chạy quảng_cáo mong được phản_hồi,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
23,23,"tất_cả mọi thứ đều ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp 
 nhưng chỉ tiết ở phần thiết_kế phải chi loa ngoài được đặt ở bên hông thay_vì đặt ở cạnh dưới như vầy tay cứ bị đè lên loa khi sử_dụng í cứ lo chính bản_thân đè nhiều quá sẽ làm loa_hư 
 thêm cái nhỏ_xíu xiu mới mua hôm_qua được giảm đ nay lên xem tuột xuống đươc giảm hẳn đ tức ghê 🥴 🥴","[ 0.  0.  1.  1.  1.  1.  1.  1.  0.  0. -1. -1.  2.  2.  1.  2.  0.  2.
 -1. -1.]"
24,24,điện_thoại thiết_kế sang_trọng cameraa chụp ảnh rất tốt pin dùng ổn_định máy dùng mượt không bị đơ,"[ 1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  2. -1.  2.  2.  2. -1. -1. -1.
 -1. -1.]"
25,25,máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn cho các tác vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai_nghe thì tgdd chưa làm tốt ra mua máy thì chi_nhánh tai_nghe khg có hàng phải đợi ngày tgdd rút kinh_nghiệm về các ctkm kiểu như_vậy,"[ 0.  1.  1.  1.  0.  0.  0.  1.  1.  0. -1.  2.  2.  1. -1. -1. -1.  2.
  1. -1.]"
26,26,pin trâu giá rẻ cấu_hình ngon mượt mà máy chơi game rất tốt nhân_viên tư_vấn nhiệt_tình,"[ 0.  0.  1.  1.  0.  0.  1.  0.  1.  0. -1. -1.  2.  2. -1. -1.  2. -1.
  2. -1.]"
27,27,không nên mua không tương_xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu,"[ 1.  0.  1.  0.  0.  1.  1.  0.  0.  0.  0. -1.  2. -1. -1.  0.  1. -1.
 -1. -1.]"
28,28,cập_nhật lại ổn nhưng camera xấu xấu tệ hy_vọng cập_nhật lại camera tốt hơn cho bản sau,"[ 1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  2. -1. -1. -1. -1.
 -1. -1.]"
29,29,"mới dùng đc tầm nửa tháng thấy khá là ok mượt 
 chơi game mức_độ mặc_định cũng ok pin đc lâu sạc nhanh","[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
30,30,"mình mua máy samsung as được ngày rồi nói_chung máy xài ổn trong tầm giá pin trâu nếu không chơi game thì xài được đến ngày còn chơi game như liên_quân thì tầm ngày chụp hình đẹp máy rất mượt 
 chỉ có lâu_lâu cảm_biến vân tay không được nhạy ngón tay hơi ướt xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót xíu mình làm trong môi_trường chăn_nuôi bụi cám này kia nhiều","[ 1.  1.  1.  1.  0.  1.  1.  0.  1.  0.  2.  0.  2.  2. -1.  2.  1. -1.
  0. -1.]"
31,31,tại_sao thì thoảng tôi mở máy thì phải đợi s thì màn_hình mới lên nó làm tôi thấy khó_chịu còn lại thì ok,"[ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0. -1. -1. -1.  0. -1.  2. -1. -1.
 -1. -1.]"
32,32,iphone luôn ổn_định thiết_kế không có gì mới nhưng vẫn chưa lỗi_thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài_chính eo_hẹp đang tich góp để cuối năm rước một e zìa quê luôn,"[ 0.  0.  1.  0.  1.  1.  0.  0.  1.  0. -1. -1.  1. -1.  1.  2. -1. -1.
  2. -1.]"
33,33,đã mua và đag dùng rất thất_vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,"[ 1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0. -1.  0.  0. -1.  0. -1. -1.
 -1. -1.]"
34,34,lỗi lưu ảnh và viền góc sáng khá là bực mong xiaomi việt_nam sớm có cách khắc_phục,"[ 0.  1.  0.  0.  0.  0.  0.  1.  1.  0. -1.  0. -1. -1. -1. -1. -1.  0.
  1. -1.]"
35,35,tôi nghĩ rằng nó được star với tr tầm giá rẻ rách nếu như đường truyền không chập_chờn thì nó sẽ được tôi đánh_giá star,"[ 0.  1.  0.  0.  0.  0.  1.  0.  0.  0. -1.  0. -1. -1. -1. -1.  2. -1.
 -1. -1.]"
36,36,máy dùng ok chỉ cài khóa mk vân tay khuôn_mặt rồi mà khi mở lại ko cần vuốt là mở đc còn lại ổn bluetooth bình_thường pin lâu nhạc hay,"[ 0.  1.  1.  0.  0.  1.  0.  0.  0.  0. -1.  1.  2. -1. -1.  2. -1. -1.
 -1. -1.]"
37,37,tgdd tôi không còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số đường_kính dương vương làm tôi quá thất_vọng cảm_giấc như mình bị lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0. -1. -1. -1. -1. -1. -1. -1. -1.
  0. -1.]"
38,38,máy chs game khá mượtpin trâu mọi vấn_đề đều ok sản_phẩm trong tầm giá này là quá tuyệt_vời,"[ 0.  0.  1.  1.  0.  1.  1.  0.  0.  0. -1. -1.  2.  2. -1.  2.  1. -1.
 -1. -1.]"
39,39,điện_thoại đẹp màn_hình rõ nghe gọi ok chụp hình cũng đẹp giá tầm này thì quá ok rồi nhân_viên tgdd thoại_sơn an_giang thì cực_kỳ dễ_thương luôn 🥰 🥰 🥰,"[ 1.  1.  0.  0.  1.  0.  1.  1.  1.  0.  2.  2. -1. -1.  2. -1.  2.  2.
  2. -1.]"
40,40,xài ok máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào_lao quá pin k mà xài ngày vầy là tốt rồi,"[ 1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  2. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
41,41,với s ultra mức giá này bằng với oppo find x thì nên mua find x vì oppo hơn hẳn con ultra về cấu_hình màn_hình pin và tốc_độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x max mượt max phê,"[ 1.  0.  1.  1.  0.  0.  0.  1.  1.  0.  2. -1.  0.  0. -1. -1. -1.  0.
  0. -1.]"
42,42,máy mới mua về xài được bựa tự_tiện bị đo treo logo p sau mới khỏi ding lại được tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không chụp được,"[ 0.  1.  0.  1.  0.  0.  0.  0.  0.  0. -1.  0. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
43,43,sau tuần sử_dụng thì mình đánh_giá_như sau về camera thì thấy cũng bình_thường cam truớc không được tốt lắm cấu_hình không bằng con vsmart tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin lần bạn nào mua vì màn đẹp vs camera thì nên mua còn mua để chơi game thì ko nên lựa,"[ 1.  0.  1.  1.  1.  0.  0.  1.  0.  0.  1. -1.  1.  0.  2. -1. -1.  2.
 -1. -1.]"
44,44,sản_phẩm không có tai_nghe hả bạn mình mua mà bên tgdd noi la k có tai_nghe có đúng vậy k ạ,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
45,45,sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd k xảy ra lỗi nv nhiệt_tình ms,"[ 0.  0.  0.  0.  1.  0.  0.  0.  1.  0. -1. -1. -1. -1.  2. -1. -1. -1.
  2. -1.]"
46,46,mua lâu rồi vân tay quá kém dí mãi mới mở đc chơi game vd liên_quân thì cảm_ứng ko nhạy rất kém máy thì rất nóng nên thỉnh_thoảng bị đơ tý ko phải do mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc,"[ 0.  1.  0.  1.  1.  0.  0.  0.  0.  0. -1.  0. -1.  0.  2. -1. -1. -1.
 -1. -1.]"
47,47,máy rất okmượtchơi game quá đỉnhcó đều pin hơi tụt nhưng cho là okvừa vs túi_tiền ok,"[ 0.  0.  1.  1.  0.  1.  1.  0.  0.  0. -1. -1.  1.  2. -1.  0.  2. -1.
 -1. -1.]"
48,48,note bin rất tệ máy ko xài vẫn tuột phần_trăm vừa sạt đầy pin để đó ko xài từ ság tới tối về nhìn lại còn vậy pin kia ko làm dì mà sao mất nhỉ máy mua dk tuần rồi pin rất tệ,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
49,49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sd rất mờ so với điện_thoại khác bật sd,"[ 0.  0.  0.  1.  0.  0.  0.  1.  0.  0. -1. -1. -1.  2. -1. -1. -1.  0.
 -1. -1.]"
50,50,"máy rất xịn 
 thứ nhất chơi game mượt với chíp snap 
 thứ hai pin trâu xài cả ngày mà còn 
 thư ba màn_hình đẹp chụp hình sáng","[ 1.  0.  1.  1.  0.  1.  0.  1.  0.  0.  2. -1.  2.  2. -1.  2. -1.  2.
 -1. -1.]"
51,51,sp tuyệt_vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,"[ 0.  0.  0.  0.  0.  1.  0.  0.  1.  0. -1. -1. -1. -1. -1.  2. -1. -1.
  2. -1.]"
52,52,mình mới mua hồi chiều minh vo cài_đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu_vậy,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
53,53,mọi thứ xài thì khá ok chỉ có pin tuột nhanh kinh_khủng không xài cũng tuột chực được p là còn ý là không chưa game đó,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
54,54,thấy mọi người đánh_giá nhiều lỗi nhưng đó là do phần_mềm lúc các bạn đó mua máy là phần_mềm chưa cập_nhật mình mua máy được một tháng và dùng rất ok không một lỗi nào vì xiaomi đã update phần_mềm fix lỗi hết rồi các bạn yên_tâm mua nhé,"[ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0. -1. -1. -1.  2. -1.  2. -1. -1.
 -1. -1.]"
55,55,dùng tạm tạm camera quá tệ phần_mềm thì cài các ứng_dụng mặc_định như vinid mua sắmquá nhiều mua điện_thoại để dùng cá_nhân chứ không phải mua điện_thoại để vinmart quảng_cáo giá rẻ không đáng bỏ tiền mua,"[ 1.  0.  0.  1.  0.  1.  1.  0.  1.  0.  0. -1. -1.  0. -1.  0.  1. -1.
  0. -1.]"
56,56,máy mượt pin trâu nhưng xạc pin mà nó cứ ấm ấm z có nguy_hiểm không ad ngoài_ra thì rất tốt,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  1.  2. -1.  2. -1. -1.
 -1. -1.]"
57,57,cho e hỏi máy mua được một năm r nhưng dạo gần đây pin hay tụt nhanh lắmgiúp em cách khác phục với,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
58,58,sản_phẩm xài tốt tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings ko gật lag nào hết,"[ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0. -1. -1. -1.  2. -1.  2. -1. -1.
 -1. -1.]"
59,59,mới mua đc ngày xài tạm ổn nhưng pin tụt nhanh máy sạc bị nóngmới mua mà chưa gì máy đã bị nóng còn lại ổn,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
60,60,"pin sạc tiếng từ pin trâu 
 camera chụp hình khá đẹp trong điều_kiện sáng tốt có chế_độ chụp cảnh buổi tối khá tốt 
 cảm_biến vân tay rất nhạy 
 những thao_tác xem phim nghe nhạc lướt web đều mượt 
 quay_phim chống rung tốt 
 loa vừa đủ nghe ấm 
 màn_hình hiển thì rất nét mình k biết là do rổ hay gì 
 đây là những đánh_giá sau ngày mình sử_dụng đây là điện_thoại tốt trong tầm giá trên triệu không nên đòi_hỏi nhiều về game hay những thao_tác nặng hơn","[ 1.  1.  1.  0.  0.  1.  1.  1.  0.  0.  2.  2.  2. -1. -1.  2.  1.  2.
 -1. -1.]"
61,61,good máy dùng mượt pin thì hơi kém tí nói_chung ok nhân_viên nhiệt_tình thanks thế_giới di_động,"[ 0.  0.  1.  1.  0.  1.  0.  0.  1.  0. -1. -1.  0.  2. -1.  2. -1. -1.
  2. -1.]"
62,62,quá thất_vọng mời mua ngày mà xài cảm_giác quá tệ luôn thua cả con jpro mua năm pin thì nhanh hết chỉ vào zalo fb thôi xài buổi bình_thường mà hết pin còn bắt sóng wifi g kém chat zalo có nhiều lúc không nhận được tin hoặc lâu mới nhận được còn kiểu_dáng camera tốc_độ thì ok đề_nghị samsung xem_lại,"[ 1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  2.  0.  0.  2.  2.  0. -1. -1.
 -1. -1.]"
63,63,sản_phẩm rất tốt chơi game rất tốt pin trâu mỗi tội ứng_dụng của máy dính quảng_cáo quá nhiều trong phần cài_đặt cũng có quảng_cáo của gg chèn vào,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  2.  1. -1.  2. -1. -1.
 -1. -1.]"
64,64,sai_lầm khi mua đt này ghê ă nghe nv tư_vấn xoq mua lun về xem_lại cấu_hình mới thấy chán tầm giá này mà màn_hình chỉ mức hd sử sụng chip rất yếu chơi game thì giật liên_tục,"[ 0.  0.  0.  1.  0.  1.  1.  1.  0.  0. -1. -1. -1.  0. -1.  0.  1.  0.
 -1. -1.]"
65,65,mình mới mua chiếc điện gb chiếc màu tím với mức giá_như thế này thì các bạn nên mua một chiếc cho bản_thân chơi game mượt loa tốt wifi ổn các tác vụ bình_thường thì ok,"[ 0.  1.  0.  1.  0.  1.  0.  0.  0.  0. -1.  2. -1.  2. -1.  2. -1. -1.
 -1. -1.]"
66,66,thiết_kế đẹp so với giá_thành thì chất_lượng cực ổn mình đi du_lịch cầm con này theo selfie rất ưng_ý,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  2. -1. -1. -1.  2.  2.  1. -1.
 -1. -1.]"
67,67,sao mình sài đc tháng thì bị hư lỗ cắm tai_nghe và khi gọi cho người khác thì màn_hình bị tắt,"[ 0.  1.  0.  0.  1.  0.  0.  0.  0.  0. -1.  1. -1. -1.  0. -1. -1. -1.
 -1. -1.]"
68,68,mua máy dc tuần đối_với triệu thì máy quá ok mọi thứ đều hoạt_động mượt_mà đặc_biệt pin trâu xài ngày mới cần sạc pin lại mình dùng toàn g k dùng wifi ít chơi game chỉ facebook zalo youtube thỉnh_thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà k hết dc xứng_đáng số tiền bỏ ra,"[ 0.  0.  1.  1.  0.  1.  1.  0.  0.  0. -1. -1.  2.  2. -1.  2.  2. -1.
 -1. -1.]"
69,69,điện_thoại khi tin nhắn tới lâu_lâu sẽ nghe nó bị rè rè âm thâm tin nhắn như bị đè_nén đi,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
70,70,ứng_dụng văn_phòng rất chán đặc_biệt ng sử dunbj email làm_việc như mình còn chơi game vs lướt web thì chấp_nhận đc pin khoẻ,"[ 0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  2.  0. -1. -1. -1. -1.
 -1. -1.]"
71,71,khá ok ngon về mọi thứ màn mượtpin khỏe sạc maxx sướngcảm giác phê lòi hơn hẳn ss về mọi mặthehe,"[ 0.  1.  1.  0.  0.  1.  0.  0.  1.  0. -1.  2.  2. -1. -1.  2. -1. -1.
  2. -1.]"
72,72,hên ghê lúc mua em này được giảm k giá ưu_đãi tr mua ốp lưng giá kthêm khách_hàng thân_thiết giảm thêm k nữa nên tậu luôn cái tai phone nói gì nói chứ thấy máy chạy mượt_mà sao nhiều bạn lại chê mình không chơi game nên như_vậy là quá ok rồi nhân_viên nhiệt tìnhvui_vẻ,"[ 0.  0.  0.  1.  0.  1.  1.  0.  1.  0. -1. -1. -1.  2. -1.  2.  2. -1.
  2. -1.]"
73,73,mới mua cách đay mấy ngày thật_sự rất tệ load hình quá chậm và nhảy màn hinhloa nghe nhạc qua nhỏ,"[ 0.  1.  0.  1.  0.  1.  0.  0.  0.  0. -1.  0. -1.  0. -1.  0. -1. -1.
 -1. -1.]"
74,74,máy dùng tạm được đang dùng quen ip sáng máy này thì ko ưng về cảm_ứng và chất_lượng video xem nhiều gây nhức mắt được cái pin khoẻ dùng cả buổi sáng hết,"[ 0.  1.  1.  0.  0.  1.  0.  1.  0.  0. -1.  0.  2. -1. -1.  1. -1.  0.
 -1. -1.]"
75,75,"đánh_giá sau năm sử_dụng thì 
 chơi game cực đã vì pin trâusạc nhanhhiệu năng tốt 
 chụp ảnh ở mức bình_thường đủ dùng để làm_việc chứ k dùng vào việc sống ảo hay chụp chuyên_nghiệp 
 được update phần_mềm thường_xuyên 
 nhược_điểm lớn nhất của phần thiết_kế là camera lồi quá nên bị xước 
 màn_hình siêu bền với gorillas 
 điều ghét nhất ở máy này đó là wifi hay bị lag 
 kết đáng mua trong tầm giá này","[ 1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  0.  2.  2.  0.  2.  1.  2.
 -1. -1.]"
76,76,máy bỏ_túi hay bị chụp màn_hình loạn xì ngầu máy mới nhưng loa rất rè có ai bị giống mình không,"[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
77,77,đừng có mua nếu ai đó đang dự_định mua sản_phẩm xài tháng có dấu_hiệu đơ máy cảm_ứng lâu_lâu không nhạy nói_chung rất thất_vọng khi mua nói trước kẻo mốt ôm hận,"[ 0.  1.  0.  1.  0.  1.  0.  0.  0.  0. -1.  0. -1.  0. -1.  0. -1. -1.
 -1. -1.]"
78,78,"sóng_sánh kém lắmgiữa đất thị_trấn mà chỉ đc vạch wifi vào phòng trong cách khoảng m mà bắt đc vạch đã gửi đi hãng thẩm_định pin qua đêm tắt hết ứng dụngmạng mà sáng dậy tụt 
 chơi liên_quân đôi_khi vẫn bị khựng lại chútđc cái màn nét","[ 0.  1.  1.  1.  0.  0.  0.  1.  0.  0. -1.  0.  0.  0. -1. -1. -1.  2.
 -1. -1.]"
79,79,mọi thứ đều ổn trừ đánh_thức cảm_ứng màn_hình khi lên lúc thì không phải sài nút bấm nguồn,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
80,80,huawei p lite sẽ sở_hữu màn_hình inch độ phân_giải full hd với phần notch kiểu giọt nước tích_hợp chip kirin viên pin dung_lượng mah hỗ_trợ sạc nhanh w và được trang_bị cụm camera mp,"[ 1.  0.  1.  1.  1.  0.  0.  1.  1.  0.  1. -1.  1.  1.  1. -1. -1.  1.
  1. -1.]"
81,81,ok tất mỗi tội loa hơi nhỏ tí và màn_hình xem phim k mỏi_mắt nhưng hình_ảnh k được mượt cho lắm còn chíp thì antutu đc k điểm mạnh hơn hẳn g,"[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  0. -1.  0. -1.  2. -1.  2. -1.  0.
 -1. -1.]"
82,82,mình cảm_thấy oppo ko mượt như quảng_cáo máy mình sử_dụng bị lỗi ứng_dụng sau ngày và phải đổi máy khác chụp hình mặt như bị sưng ko đẹp ko đáng bỏ ra gần triệu,"[ 0.  0.  0.  1.  1.  0.  1.  0.  1.  0. -1. -1. -1.  0.  0. -1.  0. -1.
  0. -1.]"
83,83,tôi rất thích sản_phẩm này với tâm già khó có còn nào lại nó vẻ ngoài hình lẫn chức_năng,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0. -1. -1. -1. -1.  2.  2.  1. -1.
 -1. -1.]"
